mcap_rank,code,name,market,market_cap,close,volume,value_krw
136,161890,한국콜마보통주,,3252779450226,136700,365642,49983261400
137,310210,보로노이,,3181433758736,152100,158950,24176295000
138,009420,한올바이오파마보통주,,3178819087982,56500,367780,20779570000
139,111770,영원무역보통주,,3162216321564,74700,57676,4308397200
140,036460,한국가스공사보통주,,3119809635162,35650,60129,2143598850
141,022100,포스코DX보통주,,3104770636749,19510,163411,3188148610
142,028670,팬오션보통주,,3084466124878,5850,2780174,16264017900
143,006360,GS건설보통주,,3022044866943,33250,2518813,83750532250
144,257720,실리콘투,,3013228603363,47650,1490292,71012413800
145,031210,서울보증보험보통주,,2998837800217,42350,28182,1193507700
146,008930,한미사이언스보통주,,2996331195831,44950,175368,7882791600
147,084370,유진테크,,2995481296921,128500,115102,14790607000
148,251270,넷마블보통주,,2967731094360,37050,130214,4824428700
149,302440,에스케이바이오사이언스보통주,,2961735073090,36500,73765,2692422500
150,192820,코스맥스보통주,,2955544981480,271000,198135,53694585000
151,097950,씨제이제일제당 주식회사 보통주,,2874978017616,184000,55426,10198384000
152,035250,강원랜드보통주,,2869809415283,14310,204483,2926151730
153,375500,DL이앤씨보통주,,2856847019577,68200,224404,15304352800
154,483650,달바글로벌보통주,,2811130785942,216500,99024,21438696000
155,489790,한화비전보통주,,2755651678848,51200,130141,6663219200
156,011780,금호석유화학보통주,,2748723765850,117200,106579,12491058800
157,336260,두산퓨얼셀보통주,,2748318922577,37000,1323000,48951000000
158,023530,롯데쇼핑 보통주,,2747906336975,96700,93355,9027428500
159,145020,휴젤,,2741049797058,245000,27715,6790175000
160,004800,효성보통주,,2688190672302,155900,22683,3536279700
161,139130,아이엠금융지주보통주,,2668794036865,17180,385888,6629555840
162,347850,디앤디파마텍,,2649413761902,53300,2654919,141507182700
163,214370,케어젠,,2639022377014,51900,89602,4650343800
164,319400,현대무벡스,,2632607299805,22850,801279,18309225150
165,085620,미래에셋생명보험보통주,,2626108094788,24450,527217,12890455650
166,017800,현대엘리베이터보통주,,2621227674866,72200,149691,10807690200
167,450080,에코프로머티보통주,,2620113029480,34250,291560,9985930000
168,131290,티에스이,,2610095743179,222000,180138,39990636000
169,003690,코리안리재보험보통주,,2583661587524,14540,268517,3904237180
